"produto","grade","disponivel","observacao"
"camiseta_basica","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"camiseta_basica","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"camiseta_basica","infantil","sim","Grade infantil: 2, 4, 6, 8, 10, 12, 14 anos"
"camiseta_premium","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"camiseta_premium","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"camiseta_premium","infantil","nao","Grade infantil não disponível para camiseta premium"
"regata","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"regata","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"regata","infantil","nao","Grade infantil não disponível para regata"
"baby_look","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"baby_look","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"baby_look","infantil","nao","Grade infantil não disponível para baby look"
"polo","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"polo","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"polo","infantil","nao","Grade infantil não disponível para polo"
"oversized","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"oversized","plus_size","nao","Oversized já tem modelagem ampla — grade plus_size não aplicável"
"oversized","infantil","nao","Oversized já tem modelagem ampla — grade infantil não aplicável"
"moletom","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"moletom","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"moletom","infantil","sim","Grade infantil: 2, 4, 6, 8, 10, 12, 14 anos"
"jaqueta","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"jaqueta","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"jaqueta","infantil","nao","Grade infantil não disponível para jaqueta"
"calca_jeans","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"calca_jeans","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"calca_jeans","infantil","nao","Grade infantil não disponível para calca jeans"
"calca_alfaiataria","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"calca_alfaiataria","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"calca_alfaiataria","infantil","nao","Grade infantil não disponível para calca alfaiataria"
"jogger","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"jogger","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"jogger","infantil","sim","Grade infantil: 2, 4, 6, 8, 10, 12, 14 anos"
"legging","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"legging","plus_size","nao","Legging tem modelagem justa — grade plus_size não aplicável"
"legging","infantil","nao","Legging tem modelagem justa — grade infantil não aplicável"
"bermuda","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"bermuda","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"bermuda","infantil","sim","Grade infantil: 2, 4, 6, 8, 10, 12, 14 anos"
"vestido_midi","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"vestido_midi","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"vestido_midi","infantil","nao","Grade infantil não disponível para vestido midi"
"vestido_longo","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"vestido_longo","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"vestido_longo","infantil","nao","Grade infantil não disponível para vestido longo"
"vestido_camisa","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"vestido_camisa","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"vestido_camisa","infantil","nao","Grade infantil não disponível para vestido camisa"
"uniforme_polo","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"uniforme_polo","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"uniforme_polo","infantil","nao","Grade infantil não disponível para uniforme polo"
"uniforme_jaleco","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"uniforme_jaleco","plus_size","sim","Grade plus_size: G1, G2, G3, G4"
"uniforme_jaleco","infantil","nao","Grade infantil não disponível para uniforme jaleco"
"uniforme_avental","adulto","sim","Grade adulto: PP, P, M, G, GG, XGG"
"uniforme_avental","plus_size","nao","Avental é tamanho único ajustável — grade plus_size não aplicável"
"uniforme_avental","infantil","nao","Avental é tamanho único ajustável — grade infantil não aplicável"
"infantil_camiseta","adulto","nao","Produto infantil — grade adulto não aplicável"
"infantil_camiseta","plus_size","nao","Produto infantil — grade plus_size não aplicável"
"infantil_camiseta","infantil","sim","Grade infantil: 2, 4, 6, 8, 10, 12, 14 anos"
"infantil_conjunto","adulto","nao","Produto infantil — grade adulto não aplicável"
"infantil_conjunto","plus_size","nao","Produto infantil — grade plus_size não aplicável"
"infantil_conjunto","infantil","sim","Grade infantil: 2, 4, 6, 8, 10, 12, 14 anos"
"infantil_moletom","adulto","nao","Produto infantil — grade adulto não aplicável"
"infantil_moletom","plus_size","nao","Produto infantil — grade plus_size não aplicável"
"infantil_moletom","infantil","sim","Grade infantil: 2, 4, 6, 8, 10, 12, 14 anos"
