"tecido","produto","compativel","observacao"
"algodao_basico","camiseta_basica","sim","algodao basico é adequado para camiseta basica"
"algodao_basico","camiseta_premium","nao","Não recomendamos algodao basico em camiseta premium - caimento ou durabilidade inadequada"
"algodao_basico","regata","sim","algodao basico é adequado para regata"
"algodao_basico","baby_look","sim","algodao basico é adequado para baby look"
"algodao_basico","polo","nao","Não recomendamos algodao basico em polo - caimento ou durabilidade inadequada"
"algodao_basico","oversized","sim","algodao basico é adequado para oversized"
"algodao_basico","moletom","nao","Não recomendamos algodao basico em moletom - caimento ou durabilidade inadequada"
"algodao_basico","jaqueta","nao","Não recomendamos algodao basico em jaqueta - caimento ou durabilidade inadequada"
"algodao_basico","calca_jeans","nao","Não recomendamos algodao basico em calca jeans - caimento ou durabilidade inadequada"
"algodao_basico","calca_alfaiataria","nao","Não recomendamos algodao basico em calca alfaiataria - caimento ou durabilidade inadequada"
"algodao_basico","jogger","nao","Não recomendamos algodao basico em jogger - caimento ou durabilidade inadequada"
"algodao_basico","legging","nao","Não recomendamos algodao basico em legging - caimento ou durabilidade inadequada"
"algodao_basico","bermuda","nao","Não recomendamos algodao basico em bermuda - caimento ou durabilidade inadequada"
"algodao_basico","vestido_midi","nao","Não recomendamos algodao basico em vestido midi - caimento ou durabilidade inadequada"
"algodao_basico","vestido_longo","nao","Não recomendamos algodao basico em vestido longo - caimento ou durabilidade inadequada"
"algodao_basico","vestido_camisa","nao","Não recomendamos algodao basico em vestido camisa - caimento ou durabilidade inadequada"
"algodao_basico","uniforme_polo","nao","Não recomendamos algodao basico em uniforme polo - caimento ou durabilidade inadequada"
"algodao_basico","uniforme_jaleco","nao","Não recomendamos algodao basico em uniforme jaleco - caimento ou durabilidade inadequada"
"algodao_basico","uniforme_avental","nao","Não recomendamos algodao basico em uniforme avental - caimento ou durabilidade inadequada"
"algodao_basico","infantil_camiseta","sim","algodao basico é adequado para infantil camiseta"
"algodao_basico","infantil_conjunto","nao","Não recomendamos algodao basico em infantil conjunto - caimento ou durabilidade inadequada"
"algodao_basico","infantil_moletom","nao","Não recomendamos algodao basico em infantil moletom - caimento ou durabilidade inadequada"
"algodao_penteado","camiseta_basica","sim","algodao penteado é adequado para camiseta basica"
"algodao_penteado","camiseta_premium","nao","Não recomendamos algodao penteado em camiseta premium - caimento ou durabilidade inadequada"
"algodao_penteado","regata","nao","Não recomendamos algodao penteado em regata - caimento ou durabilidade inadequada"
"algodao_penteado","baby_look","sim","algodao penteado é adequado para baby look"
"algodao_penteado","polo","sim","algodao penteado é adequado para polo"
"algodao_penteado","oversized","nao","Não recomendamos algodao penteado em oversized - caimento ou durabilidade inadequada"
"algodao_penteado","moletom","nao","Não recomendamos algodao penteado em moletom - caimento ou durabilidade inadequada"
"algodao_penteado","jaqueta","nao","Não recomendamos algodao penteado em jaqueta - caimento ou durabilidade inadequada"
"algodao_penteado","calca_jeans","nao","Não recomendamos algodao penteado em calca jeans - caimento ou durabilidade inadequada"
"algodao_penteado","calca_alfaiataria","nao","Não recomendamos algodao penteado em calca alfaiataria - caimento ou durabilidade inadequada"
"algodao_penteado","jogger","nao","Não recomendamos algodao penteado em jogger - caimento ou durabilidade inadequada"
"algodao_penteado","legging","nao","Não recomendamos algodao penteado em legging - caimento ou durabilidade inadequada"
"algodao_penteado","bermuda","nao","Não recomendamos algodao penteado em bermuda - caimento ou durabilidade inadequada"
"algodao_penteado","vestido_midi","nao","Não recomendamos algodao penteado em vestido midi - caimento ou durabilidade inadequada"
"algodao_penteado","vestido_longo","nao","Não recomendamos algodao penteado em vestido longo - caimento ou durabilidade inadequada"
"algodao_penteado","vestido_camisa","nao","Não recomendamos algodao penteado em vestido camisa - caimento ou durabilidade inadequada"
"algodao_penteado","uniforme_polo","sim","algodao penteado é adequado para uniforme polo"
"algodao_penteado","uniforme_jaleco","nao","Não recomendamos algodao penteado em uniforme jaleco - caimento ou durabilidade inadequada"
"algodao_penteado","uniforme_avental","nao","Não recomendamos algodao penteado em uniforme avental - caimento ou durabilidade inadequada"
"algodao_penteado","infantil_camiseta","nao","Não recomendamos algodao penteado em infantil camiseta - caimento ou durabilidade inadequada"
"algodao_penteado","infantil_conjunto","nao","Não recomendamos algodao penteado em infantil conjunto - caimento ou durabilidade inadequada"
"algodao_penteado","infantil_moletom","nao","Não recomendamos algodao penteado em infantil moletom - caimento ou durabilidade inadequada"
"algodao_pima","camiseta_basica","nao","Não recomendamos algodao pima em camiseta basica - caimento ou durabilidade inadequada"
"algodao_pima","camiseta_premium","sim","algodao pima é adequado para camiseta premium"
"algodao_pima","regata","nao","Não recomendamos algodao pima em regata - caimento ou durabilidade inadequada"
"algodao_pima","baby_look","nao","Não recomendamos algodao pima em baby look - caimento ou durabilidade inadequada"
"algodao_pima","polo","sim","algodao pima é adequado para polo"
"algodao_pima","oversized","nao","Não recomendamos algodao pima em oversized - caimento ou durabilidade inadequada"
"algodao_pima","moletom","nao","Não recomendamos algodao pima em moletom - caimento ou durabilidade inadequada"
"algodao_pima","jaqueta","nao","Não recomendamos algodao pima em jaqueta - caimento ou durabilidade inadequada"
"algodao_pima","calca_jeans","nao","Não recomendamos algodao pima em calca jeans - caimento ou durabilidade inadequada"
"algodao_pima","calca_alfaiataria","nao","Não recomendamos algodao pima em calca alfaiataria - caimento ou durabilidade inadequada"
"algodao_pima","jogger","nao","Não recomendamos algodao pima em jogger - caimento ou durabilidade inadequada"
"algodao_pima","legging","nao","Não recomendamos algodao pima em legging - caimento ou durabilidade inadequada"
"algodao_pima","bermuda","nao","Não recomendamos algodao pima em bermuda - caimento ou durabilidade inadequada"
"algodao_pima","vestido_midi","nao","Não recomendamos algodao pima em vestido midi - caimento ou durabilidade inadequada"
"algodao_pima","vestido_longo","nao","Não recomendamos algodao pima em vestido longo - caimento ou durabilidade inadequada"
"algodao_pima","vestido_camisa","nao","Não recomendamos algodao pima em vestido camisa - caimento ou durabilidade inadequada"
"algodao_pima","uniforme_polo","sim","algodao pima é adequado para uniforme polo"
"algodao_pima","uniforme_jaleco","nao","Não recomendamos algodao pima em uniforme jaleco - caimento ou durabilidade inadequada"
"algodao_pima","uniforme_avental","nao","Não recomendamos algodao pima em uniforme avental - caimento ou durabilidade inadequada"
"algodao_pima","infantil_camiseta","nao","Não recomendamos algodao pima em infantil camiseta - caimento ou durabilidade inadequada"
"algodao_pima","infantil_conjunto","nao","Não recomendamos algodao pima em infantil conjunto - caimento ou durabilidade inadequada"
"algodao_pima","infantil_moletom","nao","Não recomendamos algodao pima em infantil moletom - caimento ou durabilidade inadequada"
"malha_mista","camiseta_basica","sim","malha mista é adequado para camiseta basica"
"malha_mista","camiseta_premium","nao","Não recomendamos malha mista em camiseta premium - caimento ou durabilidade inadequada"
"malha_mista","regata","sim","malha mista é adequado para regata"
"malha_mista","baby_look","sim","malha mista é adequado para baby look"
"malha_mista","polo","nao","Não recomendamos malha mista em polo - caimento ou durabilidade inadequada"
