"produto","uso","gramatura_min_g_m2","gramatura_max_g_m2","observacao"
"camiseta_basica","verão","140","160","Leve, fresca, ideal para calor"
"camiseta_basica","dia a dia","160","180","Equilíbrio entre conforto e durabilidade"
"camiseta_basica","inverno","180","220","Mais encorpada, melhor opacidade"
"camiseta_premium","verão","160","180","Algodão pima leve com toque premium"
"camiseta_premium","dia a dia","180","200","Gramatura padrão premium"
"camiseta_premium","formal","200","220","Encorpada para uso semiformal"
"polo","corporativo","200","240","Estrutura ideal para ambiente profissional"
"polo","esporte","170","200","Mais leve para conforto em movimento"
"moletom","meia_estacao","240","280","Moletom peluciado leve"
"moletom","inverno_leve","280","320","Moletom flanelado padrão"
"moletom","inverno_intenso","320","380","Moletom flanelado pesado, máximo conforto térmico"
"jaqueta","meia_estacao","260","300","Corta-vento ou moletom leve"
"jaqueta","inverno","320","380","Jaqueta pesada para frio intenso"
"legging","esporte","180","220","Suplex com elasticidade"
"legging","casual","200","240","Suplex mais encorpado, melhor opacidade"
"vestido_midi","verão","120","150","Viscose leve, fluido"
"vestido_midi","meia_estacao","150","200","Viscose ou malha encorpada"
"uniforme_polo","industria_leve","200","220","Resistente para uso diário"
"uniforme_polo","industria_pesada","220","260","Mais resistente para ambientes agressivos"
"uniforme_jaleco","saude","180","220","Brim leve, fácil de higienizar"
"infantil_camiseta","dia a dia","140","160","Leve, confortável para criança"
"infantil_moletom","inverno","240","280","Moletom infantil padrão"
