"nome_slot","tipo_dado","padrao_extracao","descricao","exemplo_input","exemplo_extraido"
"quantidade","inteiro","\b(\d+)\s*(peças|peca|peças|camisetas|polos|moletons|uniformes|vestidos|calças|bermudas|unidades|un|pcs)?\b","Quantidade de peças mencionada na mensagem","100 camisetas","100"
"produto","enum","camiseta|polo|moletom|jaqueta|calça|jeans|bermuda|short|vestido|uniforme|jaleco|avental|legging|regata|baby look","Tipo de produto mencionado","100 camisetas","camiseta"
"tipo_personalizacao","enum","silkscreen|silk|serigrafia|dtf|impressão digital|bordado|bordada|estampa|etiqueta personalizada|modelagem exclusiva|sem personalização","Técnica de personalização mencionada","camisetas com bordado","bordado"
"cor","enum","branco|preto|cinza mescla|cinza chumbo|marinho|royal|vermelho|vinho|verde militar|verde bandeira|amarelo|rosa|pantone","Cor mencionada (das 12 padrão ou indicação de cor sob demanda)","camisetas pretas","preto"
"tamanho","enum","PP|P|M|G|GG|XGG|G1|G2|G3|G4|2 anos|4 anos|6 anos|8 anos|10 anos|12 anos|14 anos|plus size|infantil","Tamanho ou grade mencionada","no tamanho M","M"
"tecido","enum","algodão|algodão pima|algodão penteado|poliéster|viscose|linho|malha mista|moletom flanelado|moletom peluciado|suplex|dry fit|lã|jeans|tencel|rPET|bambu","Tecido mencionado","em algodão pima","algodão pima"
"urgencia","booleano","urgente|pra ontem|com pressa|preciso rápido|prazo curto|tem como adiantar","Indica se o pedido é urgente","preciso urgente","True"
"tipo_cliente","enum","pessoa física|pf|empresa|pj|cnpj|escola|revendedor|atacadista|distribuidor|consumidor final","Tipo de cliente (PF, PJ, escola, revenda)","somos uma escola","escola"
"ocasiao_uso","enum","casual|trabalho|esporte|festa|inverno|verão|presente|uniforme|dia a dia","Ocasião de uso da peça","pra usar no trabalho","trabalho"
"publico","enum","feminino|masculino|unissex|adulto|infantil|criança|bebê","Público-alvo da peça","pra criança","infantil"
"gramatura","inteiro","(\d+)\s*g/?m2|(\d+)g","Gramatura mencionada em g/m² ou g","180g","180"
"grade","enum","adulto|plus size|plus|infantil|kids|criança","Grade de tamanho mencionada (adulto/plus/infantil)","tem plus size","plus_size"
"numero_pedido","string","FF-\d{4}-\d{4}","Número do pedido no formato FF-AAAA-NNNN","meu pedido FF-2025-0389","FF-2025-0389"
"metragem","float","(\d+[\.,]?\d*)\s*(metros?|m\b|m²|m2)","Metragem de tecido mencionada pelo usuário","tenho 5 metros de tecido","5.0"
"prazo_desejado","inteiro","em\s*(\d+)\s*dias?|até\s*(\d+)\s*dias?|prazo de\s*(\d+)","Prazo desejado em dias mencionado pelo usuário","preciso em 5 dias","5"
