categoria,pergunta,intencao,status,motivo,resposta
agradecimento,vlw obg,(despedida),MISMATCH,"esperava agradecimento, classificou '(despedida)'","Até logo! Se precisar, é só voltar."
elogio,perfeito,(casual),MISMATCH,"esperava elogio, classificou '(casual)'","Beleza, pode continuar!"
elogio,que legal,sug_festa,MISMATCH,"esperava elogio, classificou 'sug_festa'","Para festa indico: vestido longo (sob demanda, 20 a 30 dias úteis), vestido midi viscose, camisa social premium. Para ocasiões muito especiais, oferecemos modelagem exclusiva."
ofensa,porcaria de bot,fallback,FALLBACK,"esperava resposta, caiu em fallback","Hmm, não consegui entender bem. Posso te ajudar com: produção, tecidos, personalização, qualidade, sustentabilidade, cuidados, prazos e catálogo. Sobre qual desses você quer saber? Se for outro assunto (preço, entrega, devolução), me avisa que encaminho para o setor certo."
ofensa,nao presta pra nada,fallback,FALLBACK,"esperava resposta, caiu em fallback","Hmm, não consegui entender bem. Posso te ajudar com: produção, tecidos, personalização, qualidade, sustentabilidade, cuidados, prazos e catálogo. Sobre qual desses você quer saber? Se for outro assunto (preço, entrega, devolução), me avisa que encaminho para o setor certo."
ofensa,voce e pessimo,sobre_o_bot,MISMATCH,"esperava ofensa, classificou 'sobre_o_bot'","Sou o assistente virtual do setor de produção da Fashion Flow. Fui criado para responder dúvidas sobre nosso processo, tecidos, personalização e prazos. Se preferir falar com um atendente humano, é só pedir!"
qualidade,veio com defeito,setor_devolucao,MISMATCH,"esperava qualidade, classificou 'setor_devolucao'","Para solicitações de troca, devolução ou problemas com a peça recebida, vou te encaminhar ao chatbot de devoluções: (inserir link)."
qualidade,minha peca veio com defeito,setor_devolucao,MISMATCH,"esperava qualidade, classificou 'setor_devolucao'","Para solicitações de troca, devolução ou problemas com a peça recebida, vou te encaminhar ao chatbot de devoluções: (inserir link)."
qualidade,a costura ta com defeito,producao_corte_costura,MISMATCH,"esperava qualidade, classificou 'producao_corte_costura'","Corte automatizado em mesa de corte computadorizada. Costura modular: cada peça passa por estações especializadas (overloque, galoneira, costura reta, casas, botões, acabamento). Isso garante qualidade consistente em todas as peças do lote."
personalizacao,etiqueta com minha marca,private_label,MISMATCH,"esperava personalizacao, classificou 'private_label'","Sim, fazemos private label (produzimos para outras marcas usarem etiqueta própria). Inclui: produção sem nossa etiqueta, etiqueta da sua marca, embalagem neutra ou com sua identidade. Mínimo de 100 peças por modelo. O setor de vendas explica as condições contratuais."
personalizacao,modelagem sob medida,producao_modelagem,MISMATCH,"esperava personalizacao, classificou 'producao_modelagem'","A modelagem é digital (CAD), o que permite ajustes precisos e encaixe otimizado de moldes. Para clientes com modelagem exclusiva, fazemos prova piloto e até 2 rodadas de ajustes antes da produção em lote."
cores,quais cores em estoque,disponibilidade_materiais,MISMATCH,"esperava cores, classificou 'disponibilidade_materiais'","Visão geral de estoque: disponíveis (13) — algodao basico, algodao penteado, algodao pima, malha mista, moletom flanelado, moletom peluciado... + 7 outros. Indisponíveis: jeans, linho."
tamanhos,roupa de crianca,cat_infantil,MISMATCH,"esperava tamanhos, classificou 'cat_infantil'","Linha infantil: camisetas, conjuntos, moletons, vestidinhos e bermudas. Grade de 2 a 14 anos com modelagem própria. Tecidos certificados OEKO-TEX (pele sensível, sem corantes agressivos)."
