categoria,pergunta,intencao,status,motivo,resposta
saudacao,oi,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,ola,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,opa,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,eai,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,e ai,saudacao_girias1,OK,,Fala mano! Tô aqui pra te ajudar com a produção da Fashion Flow. Manda o papo!
saudacao,bom dia,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,boa tarde,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,boa noite,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,oii,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,oie,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,salve,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,eae,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,olá,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,oi tudo bem,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,oi bom dia,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,bom diaa,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,"oi, tudo bem?",saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,hey,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao,oi td bem,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao_giria,mano,saudacao_girias1,OK,,Fala mano! Tô aqui pra te ajudar com a produção da Fashion Flow. Manda o papo!
saudacao_giria,bro,saudacao_girias1,OK,,Fala mano! Tô aqui pra te ajudar com a produção da Fashion Flow. Manda o papo!
saudacao_giria,fala ai,saudacao_girias1,OK,,Fala mano! Tô aqui pra te ajudar com a produção da Fashion Flow. Manda o papo!
saudacao_giria,e ai parceiro,saudacao_girias1,OK,,Fala mano! Tô aqui pra te ajudar com a produção da Fashion Flow. Manda o papo!
saudacao_giria,salve mano,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao_giria,diva,saudacao_girias2,OK,,"Manda a boa, mana! Sou o bot da produção da Fashion Flow, em que posso ajudar?"
saudacao_giria,amiga,saudacao_girias2,OK,,"Manda a boa, mana! Sou o bot da produção da Fashion Flow, em que posso ajudar?"
saudacao_giria,oi diva,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
saudacao_giria,fala mana,saudacao_girias2,OK,,"Manda a boa, mana! Sou o bot da produção da Fashion Flow, em que posso ajudar?"
saudacao_giria,eai bro,saudacao,OK,,"Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?"
despedida,tchau,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,ate logo,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,flw,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,falou,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,ate mais,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,vlw,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,ate a proxima,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,era so isso,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,resolvido,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,encerrar,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,ate amanha,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,valeu flw,(despedida),OK,,"Até logo! Se precisar, é só voltar."
despedida,ok tchau,(despedida),OK,,"Até logo! Se precisar, é só voltar."
agradecimento,obrigado,(casual),OK,,"Beleza, pode continuar!"
agradecimento,obrigada,(casual),OK,,"Beleza, pode continuar!"
agradecimento,valeu,(casual),OK,,"Beleza, pode continuar!"
agradecimento,obg,(casual),OK,,"Beleza, pode continuar!"
agradecimento,vlw obg,(despedida),MISMATCH,"esperava agradecimento, classificou '(despedida)'","Até logo! Se precisar, é só voltar."
agradecimento,muito obrigada,despedida,OK,,"Foi um prazer te ajudar! Qualquer coisa, é só voltar a falar comigo. Até mais!"
agradecimento,brigado,(casual),OK,,"Beleza, pode continuar!"
agradecimento,obrigado mesmo,despedida,OK,,"Foi um prazer te ajudar! Qualquer coisa, é só voltar a falar comigo. Até mais!"
agradecimento,obrigada pela ajuda,despedida,OK,,"Foi um prazer te ajudar! Qualquer coisa, é só voltar a falar comigo. Até mais!"
elogio,muito bom,elogios1,OK,,"Aaah, muito obrigada pelo elogio! Fico feliz em ajudar. Qualquer outra dúvida, é só chamar."
elogio,perfeito,(casual),MISMATCH,"esperava elogio, classificou '(casual)'","Beleza, pode continuar!"
elogio,adorei,elogios2,OK,,"Aaai amei demais, divou! Tamo junto, qualquer coisa é só chamar 💖"
elogio,amei,elogios2,OK,,"Aaai amei demais, divou! Tamo junto, qualquer coisa é só chamar 💖"
elogio,parabens,elogios1,OK,,"Aaah, muito obrigada pelo elogio! Fico feliz em ajudar. Qualquer outra dúvida, é só chamar."
elogio,otimo atendimento,elogios1,OK,,"Aaah, muito obrigada pelo elogio! Fico feliz em ajudar. Qualquer outra dúvida, é só chamar."
elogio,voce e otimo,elogios1,OK,,"Aaah, muito obrigada pelo elogio! Fico feliz em ajudar. Qualquer outra dúvida, é só chamar."
elogio,que legal,sug_festa,MISMATCH,"esperava elogio, classificou 'sug_festa'","Para festa indico: vestido longo (sob demanda, 20 a 30 dias úteis), vestido midi viscose, camisa social premium. Para ocasiões muito especiais, oferecemos modelagem exclusiva."
elogio,sensacional,elogios1,OK,,"Aaah, muito obrigada pelo elogio! Fico feliz em ajudar. Qualquer outra dúvida, é só chamar."
elogio,top demais,elogios1,OK,,"Aaah, muito obrigada pelo elogio! Fico feliz em ajudar. Qualquer outra dúvida, é só chamar."
elogio,arrasou,elogios2,OK,,"Aaai amei demais, divou! Tamo junto, qualquer coisa é só chamar 💖"
elogio,que tudo,elogios2,OK,,"Aaai amei demais, divou! Tamo junto, qualquer coisa é só chamar 💖"
elogio,adorei o atendimento,elogios2,OK,,"Aaai amei demais, divou! Tamo junto, qualquer coisa é só chamar 💖"
elogio,voces sao otimos,elogios1,OK,,"Aaah, muito obrigada pelo elogio! Fico feliz em ajudar. Qualquer outra dúvida, é só chamar."
ofensa,voce e burro,ofensas,OK,,"Entendo que possa estar frustrado e peço desculpas se algo te incomodou. Vou continuar tentando te ajudar — me conta o que está acontecendo. Se preferir, posso te encaminhar para um atendente humano."
ofensa,que bot inutil,ofensas,OK,,"Entendo que possa estar frustrado e peço desculpas se algo te incomodou. Vou continuar tentando te ajudar — me conta o que está acontecendo. Se preferir, posso te encaminhar para um atendente humano."
ofensa,idiota,ofensas,OK,,"Entendo que possa estar frustrado e peço desculpas se algo te incomodou. Vou continuar tentando te ajudar — me conta o que está acontecendo. Se preferir, posso te encaminhar para um atendente humano."
